Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-04-17,14:00,Metz,Clermont,1,1,D,1,1,D,4,26,2,4,15,11,0,9,1,1,1,0,2.24,1.65
F1,2022-04-17,12:00,Nice,Lorient,2,1,H,0,0,D,15,6,2,1,10,12,5,1,2,1,0,0,2.06,1.77
F1,2022-04-17,14:00,Montpellier,Reims,0,0,D,0,0,D,14,15,3,9,9,12,9,6,0,3,0,0,2.18,1.69
F1,2022-04-20,18:00,Bordeaux,St Etienne,2,2,D,2,1,H,11,9,7,2,17,18,5,4,5,6,0,0,1.89,1.92
F1,2022-04-20,18:00,Reims,Lille,2,1,H,1,0,H,10,20,4,5,13,8,5,2,1,1,0,0,2.42,1.57
F1,2022-04-20,20:00,Strasbourg,Rennes,2,1,H,1,0,H,13,10,5,3,16,11,2,7,1,2,0,0,1.93,1.89
F1,2022-04-20,20:00,Marseille,Nantes,3,2,H,1,2,A,19,4,5,3,10,15,7,3,2,5,0,1,1.92,1.9
F1,2022-04-20,20:00,Lens,Montpellier,2,0,H,1,0,H,12,9,5,4,11,10,5,3,1,0,0,0,1.74,2.11
F1,2022-04-20,20:00,Brest,Lyon,2,1,H,1,0,H,9,18,3,5,15,12,2,2,2,2,0,0,1.67,2.23
F1,2022-04-20,20:00,Angers,Paris SG,0,3,A,0,2,A,8,15,1,8,5,10,3,7,1,2,0,1,1.58,2.37
F1,2022-04-20,18:00,Lorient,Metz,1,0,H,0,0,D,15,20,5,5,13,17,10,12,2,2,0,0,2.08,1.76
F1,2022-04-20,18:00,Monaco,Nice,1,0,H,1,0,H,17,15,7,2,19,11,7,10,5,2,0,0,1.82,2.01
F1,2022-04-20,18:00,Troyes,Clermont,0,1,A,0,0,D,16,3,3,1,11,15,5,2,3,6,1,1,2.15,1.71
F1,2022-04-23,16:00,Lyon,Montpellier,5,2,H,2,2,D,27,11,13,7,13,10,8,2,2,2,0,0,1.43,2.81
F1,2022-04-23,18:00,St Etienne,Monaco,1,4,A,1,2,A,8,12,4,6,11,19,1,1,2,3,0,0,1.83,2.0
F1,2022-04-23,20:00,Paris SG,Lens,1,1,D,0,0,D,18,8,7,3,17,12,4,3,4,2,0,1,1.42,2.84
F1,2022-04-24,19:45,Reims,Marseille,0,1,A,0,0,D,10,14,3,3,14,7,3,4,1,1,0,0,2.18,1.69
F1,2022-04-24,12:00,Rennes,Lorient,5,0,H,2,0,H,10,12,7,2,10,10,2,4,1,0,1,0,1.66,2.23
F1,2022-04-24,14:00,Clermont,Angers,2,2,D,0,2,A,12,9,6,5,10,21,4,4,0,6,0,1,2.15,1.71
F1,2022-04-24,16:05,Lille,Strasbourg,1,0,H,0,0,D,11,11,3,3,18,18,4,6,2,3,0,0,2.17,1.7
F1,2022-04-24,14:00,Nantes,Bordeaux,5,3,H,0,2,A,15,20,6,7,12,15,6,4,1,1,0,0,1.89,1.92
F1,2022-04-24,14:00,Nice,Troyes,1,0,H,0,0,D,18,9,3,3,18,11,7,3,0,1,0,0,1.97,1.85
F1,2022-04-24,14:00,Metz,Brest,0,1,A,0,1,A,10,16,0,3,16,17,4,7,4,0,2,0,2.19,1.68
F1,2022-04-29,20:00,Strasbourg,Paris SG,3,3,D,1,1,D,14,14,2,6,15,6,2,5,3,3,0,0,1.66,2.24
F1,2022-04-30,16:00,Lens,Nantes,2,2,D,0,2,A,20,13,5,5,7,11,6,5,0,5,1,0,1.84,1.98
F1,2022-04-30,20:00,Rennes,St Etienne,2,0,H,1,0,H,13,8,3,3,11,15,4,3,1,4,0,0,1.51,2.57
F1,2022-05-01,16:05,Bordeaux,Nice,0,1,A,0,0,D,5,14,1,3,10,12,2,5,1,2,0,0,1.77,2.06
F1,2022-05-01,14:00,Monaco,Angers,2,0,H,1,0,H,15,11,7,5,14,12,8,5,2,2,0,0,1.66,2.23
F1,2022-05-01,19:45,Marseille,Lyon,0,3,A,0,0,D,9,12,2,5,5,13,3,6,2,1,0,0,1.65,2.26
F1,2022-05-01,14:00,Brest,Clermont,2,0,H,0,0,D,8,16,4,7,7,16,5,13,2,2,1,0,1.95,1.87
F1,2022-05-01,12:00,Troyes,Lille,3,0,H,1,0,H,9,10,5,1,9,13,1,4,0,4,0,2,2.2,1.68
F1,2022-05-01,14:00,Lorient,Reims,1,2,A,1,1,D,20,12,8,2,15,13,7,3,2,1,0,0,2.28,1.63
F1,2022-05-01,14:00,Montpellier,Metz,2,2,D,0,1,A,18,17,6,5,9,15,8,1,2,3,0,0,1.84,1.98
F1,2022-05-06,20:00,Lille,Monaco,1,2,A,0,1,A,15,9,5,3,10,8,3,5,4,1,0,0,1.8,2.04
F1,2022-05-07,16:00,Brest,Strasbourg,0,1,A,0,0,D,7,14,2,5,5,15,5,5,1,2,0,0,1.9,1.92
F1,2022-05-08,14:00,Clermont,Montpellier,2,1,H,1,1,D,12,10,4,2,10,15,5,3,2,4,0,0,1.73,2.12
F1,2022-05-08,12:00,Metz,Lyon,3,2,H,2,1,H,15,17,8,5,19,8,3,7,3,2,0,1,1.54,2.48
F1,2022-05-08,16:05,Lorient,Marseille,0,3,A,0,1,A,7,9,0,6,22,10,4,8,1,1,0,0,1.8,2.04
